🚀 CHARGEMENT DU MODÈLE ULTIME (S01 à S32)...
🧩 Classes uniques: 31

🪟 Fenêtrage Spatio Temporel...
Dimensions : X = (188863, 50, 50)
💻 Moteur de calcul activé : mps

🔥 Démarrage: Entraînement Modèle Ultime (70 Epochs Cosinus)
[E49/70] Train Loss: 0.3696 | Train Acc: 88.85% | Val Loss: 1.0975 | Val Acc: 74.82% ⭐🌟
[E50/70] Train Loss: 0.3480 | Train Acc: 89.46% | Val Loss: 1.1032 | Val Acc: 74.87% ⭐🌟
[E51/70] Train Loss: 0.3298 | Train Acc: 90.01% | Val Loss: 1.0933 | Val Acc: 75.02% ⭐🌟
[E52/70] Train Loss: 0.3110 | Train Acc: 90.61% | Val Loss: 1.1071 | Val Acc: 75.46% ⭐🌟
[E53/70] Train Loss: 0.2942 | Train Acc: 90.99% | Val Loss: 1.1061 | Val Acc: 75.48% ⭐🌟
[E54/70] Train Loss: 0.2770 | Train Acc: 91.56% | Val Loss: 1.1158 | Val Acc: 75.93% ⭐🌟
[E55/70] Train Loss: 0.2593 | Train Acc: 92.04% | Val Loss: 1.1144 | Val Acc: 76.03% ⭐🌟
[E56/70] Train Loss: 0.2442 | Train Acc: 92.50% | Val Loss: 1.1238 | Val Acc: 76.25% ⭐🌟
[E57/70] Train Loss: 0.2312 | Train Acc: 92.88% | Val Loss: 1.1465 | Val Acc: 76.04% 
[E58/70] Train Loss: 0.2172 | Train Acc: 93.34% | Val Loss: 1.1405 | Val Acc: 76.40% ⭐🌟
[E59/70] Train Loss: 0.2066 | Train Acc: 93.67% | Val Loss: 1.1424 | Val Acc: 76.53% ⭐🌟
[E60/70] Train Loss: 0.1934 | Train Acc: 94.02% | Val Loss: 1.1443 | Val Acc: 76.63% ⭐🌟
[E61/70] Train Loss: 0.1800 | Train Acc: 94.47% | Val Loss: 1.1567 | Val Acc: 76.69% ⭐🌟
[E62/70] Train Loss: 0.1748 | Train Acc: 94.62% | Val Loss: 1.1722 | Val Acc: 76.97% ⭐🌟
[E63/70] Train Loss: 0.1686 | Train Acc: 94.86% | Val Loss: 1.1723 | Val Acc: 76.95% 
[E64/70] Train Loss: 0.1635 | Train Acc: 94.94% | Val Loss: 1.1816 | Val Acc: 76.90% 
[E65/70] Train Loss: 0.1552 | Train Acc: 95.28% | Val Loss: 1.1862 | Val Acc: 76.91% 
[E66/70] Train Loss: 0.1491 | Train Acc: 95.40% | Val Loss: 1.1788 | Val Acc: 77.26% ⭐🌟
[E67/70] Train Loss: 0.1492 | Train Acc: 95.41% | Val Loss: 1.1764 | Val Acc: 77.32% ⭐🌟
[E68/70] Train Loss: 0.1451 | Train Acc: 95.61% | Val Loss: 1.1790 | Val Acc: 77.26% 
[E69/70] Train Loss: 0.1418 | Train Acc: 95.70% | Val Loss: 1.1800 | Val Acc: 77.25% 
[E70/70] Train Loss: 0.1407 | Train Acc: 95.67% | Val Loss: 1.1768 | Val Acc: 77.26% 

👑 FINI. Durée Totale : 3484.7 secondes.
📊 LE SCORE ABSOLU ULTIME EST : 77.32% (Sauvegardé dans ultimate_model_best.pth)
